State,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine
IL,0 ,178 ,0 
VA,276 ,0 ,0 
NY,16560,15829,0 
IL,3312,13292,0 
TX,0 ,11913,0 
NY,211 ,0 ,0 
PA,252 ,0 ,0 
WI,0 ,27 ,0 
NY,43677,282398,0 
FL,30979,117040,0 
GA,382 ,0 ,0 
MA,6331,8306,0 
IL,80 ,0 ,0 
CA,0 ,2082,0 
IL,0 ,954 ,0 
CT,14416,2840,0 
IN,224243,58355,0 
PA,41 ,0 ,0 
SC,0 ,993 ,0 
MA,71353,109909,0 
OH,141678,47316,0 
NC,2613,0 ,0 
MO,59878,101873,0 
OH,398 ,163 ,0 
OH,8127,2238,0 
NJ,1534567,2622,0 
CA,113 ,495 ,0 
PA,0 ,36 ,0 
NV,16567,0 ,0 
LA,13043,336 ,0 
AZ,31817,190023,0 
NJ,0 ,6082,0 
TN,5186,4088,0 
CA,21895,5701,0 
NY,716 ,31366,0 
NM,0 ,23998,0 
NJ,0 ,12802,0 
MI,555 ,423 ,0 
CT,0 ,302 ,0 
IA,840 ,71 ,0 
TN,0 ,260 ,0 
PA,0 ,43 ,0 
NC,4740,150 ,0 
NC,1499,329 ,0 
NC,76363,189172,0 
TX,2010,0 ,0 
FL,0 ,7583,0 
IL,0 ,1672,0 
OH,21177,13036,0 
PA,54 ,147 ,0 
CA,875 ,370 ,0 
FL,0 ,215 ,0 
NV,0 ,25487,0 
IN,100 ,0 ,0 
TX,3958,4319,0 
LA,1286,0 ,0 
MD,0 ,9105,0 
PA,147855,25171,0 
MD,2236,0 ,0 
PA,22 ,75 ,0 
TX,1103,852 ,0 
MN,3107,561 ,0 
MS,321342,441633,0 
TX,267 ,247 ,0 
MO,0 ,29790,0 
FL,0 ,1386,0 
GA,11880,2021,0 
NJ,0 ,1087,0 
CA,84 ,0 ,0 
MI,0 ,159 ,0 
GA,0 ,29881,0 
TX,0 ,26103,0 
GA,0 ,32861,0 
CA,180542,330704,0 
GA,36315,1236603,0 
NC,417 ,3051,0 
AR,1233,657 ,0 
IL,651725,0 ,0 
WA,1331,101 ,0 
CA,10 ,709 ,0 
CA,38695,64297,0 
TX,4321,1371,0 
GA,0 ,9498,0 
CA,44286,6556,0 
TX,0 ,5017,0 
CA,262838,11788,0 
RI,9302,508 ,0 
NH,6854,1723,0 
FL,10760,423014,0 
MD,1133,4391,0 
SC,53 ,0 ,0 
IL,0 ,530 ,0 
TX,180 ,0 ,0 
MN,2350,848 ,0 
NY,29066,84 ,0 
UT,0 ,22 ,0 
KS,8109,48326,0 
TN,26927,3077,0 
IN,0 ,3302,0 
TX,97037,55338,0 
NY,54843,1559029,0 
WI,3426,4117,0 
AZ,3872,8632,0 
TX,685 ,0 ,0 
MO,0 ,6636,0 
AZ,0 ,26589,0 
TX,11232,29888,0 
CA,500 ,0 ,0 
AL,32126,5344,0 
PA,193 ,74 ,0 
MN,18246,7875,0 
IL,0 ,2729,0 
CA,170 ,0 ,0 
RI,478 ,261 ,0 
FL,0 ,743 ,0 
GA,1523,267518,0 
TX,0 ,13941,0 
CT,132 ,213 ,0 
MO,333 ,608 ,0 
GA,0 ,2382,0 
FL,36725,48159,0 
OK,0 ,44129,0 
TX,4037,16558,0 
OR,0 ,122 ,0 
WY,289 ,249811,0 
MA,329 ,0 ,0 
MD,0 ,526 ,0 
GA,37472,33167,0 
IA,3799,9100,0 
AL,25426,1670,0 
NJ,82 ,0 ,0 
WI,1089,200 ,0 
OK,0 ,488 ,0 
TX,0 ,8094,0 
CA,813 ,0 ,0 
MS,15675,604 ,0 
GA,0 ,66008,0 
GA,0 ,1964,0 
MN,100 ,0 ,0 
OK,490 ,719 ,0 
TX,8931,1256,0 
PA,508 ,880 ,0 
NY,222 ,44 ,0 
TX,48011,3597,0 
NY,87695,1761,0 
MN,278 ,75 ,0 
OH,8491,47047,0 
NJ,2832,3159,0 
TX,25554,355 ,0 
GA,0 ,6042,0 
TX,0 ,3146,0 
AZ,39406,2545,0 
HI,0 ,488 ,0 
PA,4335,483 ,0 
TX,3351,410 ,0 
MA,1380,258 ,0 
OH,351 ,0 ,0 
LA,0 ,89 ,0 
NV,0 ,12214,0 
